question,class1,class2,wh,headWord,synomums1,synomums2,synomums3,AllCaps,AllLowerCase,AllDigits,AllLetters,others,Location,Person,Organization,Money,Percent,Date,Time,DURATION,MISC,NUMBER,SET,ORDINAL,db
What are some reputable tour companies that offer tours to Praslin and/or La Digue?,TGU,TGUTOP,what,company,company,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q island populatedPlace wgs place place location island island land object physicalEntity yagoGeoEntity yagoPermanentlyLocatedEntity wikicatIslandsOfSeychelles wikicatIslandsOfTheIndianOcean
Can you please suggest the best Scuba diving spots in Seychelles?,TTD,TTDSPO,other,Seychelles,Seychelles,Republic_of_Seychelles,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict archipelago country district island land location object physicalEntity region yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAfricanCountries wikicatArchipelagoes wikicatArchipelagoesOfTheIndianOcean wikicatCountries wikicatCountriesInAfrica wikicatEnglish wikicatFrench wikicatIslandCountries wikicatIslandsOfAfrica wikicatIslandsOfTheIndianOcean wikicatMemberStatesOfTheAfricanUnion wikicatMemberStatesOfTheCommonwealthOfNations wikicatMemberStatesOfTheUnitedNations wikicatStatesAndTerritoriesEstablishedIn
How is the watersports availability during the month of December?,TTD,TTDSPO,how,availability,handiness,accessibility,availability,true,true,false,false,flase,0,0,0,0,0,4,0,0,0,0,0,0,
"Are there any restaurants or bars near Kempinski, Mahe ?",FOD,FODOTH,other,Mahe,none,none,none,true,true,false,false,flase,1,1,0,0,0,0,0,0,0,0,0,0,   dUL dUL q agent organisation organization company abstraction company group institution organization socialGroup yagoLegalActor yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCompaniesBasedInGeneva wikicatCompaniesEstablishedIn wikicatHotelChains abbreviation abstraction form island land languageUnit object part physicalEntity relation word yagoGeoEntity yagoPermanentlyLocatedEntity wikicatAbbreviations wikicatIslandsOfSeychelles wikicatIslandsOfTheIndianOcean
would it be worth hiring a car to explore the Seychelles island?,TRS,TRSRNT,other,it,none,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict archipelago country district island land location object physicalEntity region yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAfricanCountries wikicatArchipelagoes wikicatArchipelagoesOfTheIndianOcean wikicatCountries wikicatCountriesInAfrica wikicatEnglish wikicatFrench wikicatIslandCountries wikicatIslandsOfAfrica wikicatIslandsOfTheIndianOcean wikicatMemberStatesOfTheAfricanUnion wikicatMemberStatesOfTheCommonwealthOfNations wikicatMemberStatesOfTheUnitedNations wikicatStatesAndTerritoriesEstablishedIn
As a Libyan citizen do i have to take visa for visit Seychelles?,TGU,TGUVIS,other,visa,visa,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,1,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict archipelago country district island land location object physicalEntity region yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAfricanCountries wikicatArchipelagoes wikicatArchipelagoesOfTheIndianOcean wikicatCountries wikicatCountriesInAfrica wikicatEnglish wikicatFrench wikicatIslandCountries wikicatIslandsOfAfrica wikicatIslandsOfTheIndianOcean wikicatMemberStatesOfTheAfricanUnion wikicatMemberStatesOfTheCommonwealthOfNations wikicatMemberStatesOfTheUnitedNations wikicatStatesAndTerritoriesEstablishedIn
From where can I try best local food in Seychelles?,FOD,FODAUT,where,food,food,nutrient,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict archipelago country district island land location object physicalEntity region yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAfricanCountries wikicatArchipelagoes wikicatArchipelagoesOfTheIndianOcean wikicatCountries wikicatCountriesInAfrica wikicatEnglish wikicatFrench wikicatIslandCountries wikicatIslandsOfAfrica wikicatIslandsOfTheIndianOcean wikicatMemberStatesOfTheAfricanUnion wikicatMemberStatesOfTheCommonwealthOfNations wikicatMemberStatesOfTheUnitedNations wikicatStatesAndTerritoriesEstablishedIn
Is it worth to going on a glass bottom boat to 3 islands ?,TTD,TTDTRI,other,boat,boat,none,none,false,true,true,true,flase,0,0,0,0,0,0,0,0,0,1,0,0,   dUL q timePeriod year album artifact instrumentality medium object physicalEntity whole wikicat wikicatElectronicaAlbums
Can you suggest a place to stay during our honeymoon on September where we can avoid from seaweeds?,ACM,ACMOTH,where,honeymoon,honeymoon,none,none,true,true,false,false,flase,0,0,0,0,0,1,0,0,0,0,0,0,   abstraction calendarMonth fundamentalQuantity measure timePeriod wikicatMonths
"What is the best currency to use in Seychelles USD, GBP or Euro?",TGU,TGUBAN,what,currency,currency,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,1,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict archipelago country district island land location object physicalEntity region yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAfricanCountries wikicatArchipelagoes wikicatArchipelagoesOfTheIndianOcean wikicatCountries wikicatCountriesInAfrica wikicatEnglish wikicatFrench wikicatIslandCountries wikicatIslandsOfAfrica wikicatIslandsOfTheIndianOcean wikicatMemberStatesOfTheAfricanUnion wikicatMemberStatesOfTheCommonwealthOfNations wikicatMemberStatesOfTheUnitedNations wikicatStatesAndTerritoriesEstablishedIn   currency currency
Can anyone who has recently married in the Seychelles recommend a wedding planner or should I go via a travel agent?,TGU,TGUPLN,who,can,,,,true,true,false,false,flase,1,0,0,0,0,1,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict archipelago country district island land location object physicalEntity region yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAfricanCountries wikicatArchipelagoes wikicatArchipelagoesOfTheIndianOcean wikicatCountries wikicatCountriesInAfrica wikicatEnglish wikicatFrench wikicatIslandCountries wikicatIslandsOfAfrica wikicatIslandsOfTheIndianOcean wikicatMemberStatesOfTheAfricanUnion wikicatMemberStatesOfTheCommonwealthOfNations wikicatMemberStatesOfTheUnitedNations wikicatStatesAndTerritoriesEstablishedIn
How much will be the cost of taxi from Mahe international airport to Berjaya Beau Vallon Bay Resort?,TRS,TGUAVE,how,cost,cost,none,none,true,true,false,false,flase,5,1,0,0,0,0,0,0,0,0,0,0, abbreviation abstraction form island land languageUnit object part physicalEntity relation word yagoGeoEntity yagoPermanentlyLocatedEntity wikicatAbbreviations wikicatIslandsOfSeychelles wikicatIslandsOfTheIndianOcean
What kind of weather I can expect in mid of July in Seychelles?,WTH,WTHOTH,what,weather,weather,weather_condition,atmospheric_condition,true,true,false,false,flase,1,0,0,0,0,3,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict archipelago country district island land location object physicalEntity region yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAfricanCountries wikicatArchipelagoes wikicatArchipelagoesOfTheIndianOcean wikicatCountries wikicatCountriesInAfrica wikicatEnglish wikicatFrench wikicatIslandCountries wikicatIslandsOfAfrica wikicatIslandsOfTheIndianOcean wikicatMemberStatesOfTheAfricanUnion wikicatMemberStatesOfTheCommonwealthOfNations wikicatMemberStatesOfTheUnitedNations wikicatStatesAndTerritoriesEstablishedIn
Is it possible to visit Spice Gardens from ferry terminal using local bus?,TRS,TRSBUS,other,possible,possible,none,none,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,
Which hotels on Mahe have interconnecting rooms ?,ACM,ACMHOT,which,room,room,none,none,true,true,false,false,flase,0,1,0,0,0,0,0,0,0,0,0,0, abbreviation abstraction form island land languageUnit object part physicalEntity relation word yagoGeoEntity yagoPermanentlyLocatedEntity wikicatAbbreviations wikicatIslandsOfSeychelles wikicatIslandsOfTheIndianOcean
From where can I rent bikes and sidecars for babies in La Digue?,TRS,TRSRNT,where,bike,motorcycle,bike,none,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,
Where is the Mosque in Praslin Island located?,TTD,TTDSIG,where,Mosque,mosque,masjid,musjid,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,
Can anyone advice me a good bridal makeup artist and hairdresser in Seychelles?,TGU,TGUPLN,other,advice,advice,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict archipelago country district island land location object physicalEntity region yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAfricanCountries wikicatArchipelagoes wikicatArchipelagoesOfTheIndianOcean wikicatCountries wikicatCountriesInAfrica wikicatEnglish wikicatFrench wikicatIslandCountries wikicatIslandsOfAfrica wikicatIslandsOfTheIndianOcean wikicatMemberStatesOfTheAfricanUnion wikicatMemberStatesOfTheCommonwealthOfNations wikicatMemberStatesOfTheUnitedNations wikicatStatesAndTerritoriesEstablishedIn
Where will be the best shop to buy food and drinks for our 7 day sailing trip?,FOD,FODOTH,where,shop,shop,store,none,false,true,true,true,flase,0,0,0,0,0,0,0,2,0,0,0,0,
Could anyone put me in contact with a person I could hire a beach tent or canopies table chairs for a birthday celebration with 50 pax?,TGU,TGUOTH,other,contact,contact,none,none,true,true,true,true,flase,0,0,0,0,0,0,0,0,0,1,0,0,   dUL q timePeriod year
Do you have to protect your feet while swimming in the seychelles from fish (I have seen pictures of stone fish there) and jellyfish?,TGU,TGUHEA,other,do,make,do,none,true,true,false,false,flase,0,0,0,0,0,0,0,0,0,0,0,0,
Where should I stay to get the best view of pyramids?,ACM,ACMOTH,where,pyramid,pyramid,none,none,true,true,false,false,flase,0,0,0,0,0,0,0,0,0,0,0,0,
Does a US citizen need visa to enter to Morocco?,TGU,TGUVIS,other,visa,visa,none,none,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict country district location object physicalEntity region yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAfricanCountries wikicatArabic wikicatCountries wikicatCountriesInAfrica wikicatFrench wikicatMemberStatesOfLaFrancophonie wikicatMemberStatesOfTheArabLeague wikicatMemberStatesOfTheOrganisationOfIslamicCooperation wikicatMemberStatesOfTheUnionForTheMediterranean wikicatMemberStatesOfTheUnitedNations wikicatNorthAfricanCountries wikicatStatesAndTerritoriesEstablishedIn
How can I find a riad in Medina to stay for a week in October?,ACM,ACMOTH,how,Medina,Medina,Al_Madinah,none,true,true,false,false,flase,1,0,0,0,0,4,0,0,0,0,0,0,   q populatedPlace settlement wgs place place location populatedPlace village location abstraction administrativeDistrict area artifact capital center city creation district documentary event geographicalArea holyPlace location movie municipality object physicalEntity point product provincialCapital psychologicalFeature region seat show site socialEvent topographicPoint tract urbanArea whole yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCapitalsOfCaliphates wikicatHolyCities wikicatIslamicHolyPlaces wikicatPopulatedPlacesInAlMadinahProvince wikicatProvincialCapitalsOfSaudiArabia wikicatSpanishDocumentaryFilms
Are there any lockers in train stations? Or maybe in the center of towns?,TGU,TGULUG,other,station,station,none,none,true,true,false,false,flase,0,0,0,0,0,0,0,0,0,0,0,0,
Can you suggest a 8 day itinerary which covers most of the important places starting from Marrakech?,TGU,TGUOTH,which,place,topographic_point,place,spot,true,true,true,true,flase,1,0,0,0,0,0,0,2,0,0,0,0,
From where can I rent a 4WD vehicle in Marrakech?,TRS,TRSRNT,where,vehicle,vehicle,none,none,true,true,true,true,flase,1,0,0,0,0,0,0,0,0,0,0,0,
What are the places we can visit around Tangier within 12 hours?,TTD,TTDSIG,what,place,topographic_point,place,spot,true,true,true,true,flase,1,0,0,0,0,0,0,2,0,0,0,0,   q populatedPlace settlement wgs place place location populatedPlace village location administrativeDistrict area city country district geographicPoint geographicalArea location municipality object physicalEntity point port prefecture region site tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatArchaeologicalSitesInMorocco wikicatCitiesInMorocco wikicatFormerCountriesInAfrica wikicatMetropolitanAreasOfMorocco wikicatPopulatedCoastalPlaces wikicatPopulatedCoastalPlacesInMorocco wikicatPopulatedPlacesEstablishedInThe wikicatPopulatedPlacesInTangier wikicatPortCities wikicatPortCitiesAndTownsOnTheMoroccanAtlanticCoast wikicatPortsAndHarbours wikicatPrefecturesOfMorocco wikicatStatesAndTerritoriesDisestablishedIn wikicatStatesAndTerritoriesDisestablishedIn wikicatStatesAndTerritoriesEstablishedIn wikicatStatesAndTerritoriesEstablishedIn
Do rooms tend to have safes in them or are there safes in reception in hotels in Marrakech?,ACM,ACMHOT,other,safe,none,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,
What are the good hotels to stay for a solo female traveller in Marrakech?,ACM,ACMHOT,what,hotel,hotel,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,
How can I book trains with beds to travel in night from Marrakech to Tanger?,TRS,TRSTRN,how,bed,bed,none,none,true,true,false,false,flase,1,1,0,0,0,0,1,0,0,0,0,0,
Where I can find long term rental apartments in Casablanca?,ACM,ACMAPA,where,term,term,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location populatedPlace village location administrativeDistrict area city district geographicPoint geographicalArea location municipality object physicalEntity point port prefecture region site tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCitiesInMorocco wikicatMetropolitanAreasOfMorocco wikicatPopulatedCoastalPlacesInMorocco wikicatPopulatedPlacesInGrandCasablanca wikicatPortCities wikicatPortCitiesAndTownsOnTheMoroccanAtlanticCoast wikicatPortsAndHarbours wikicatPortsAndHarboursOfMorocco wikicatPrefecturesOfMorocco
Could anyone recommend any nice restaurants within walking distance of Riu Tikida Dunas?,FOD,FODBAK,other,Dunas,none,none,none,true,true,false,false,flase,0,0,0,0,0,0,0,0,0,0,0,0,
Can anyone please advise of a really nice spa in Essaouira?,TTD,TTDSPA,other,spa,watering_place,watering_hole,spa,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city administrativeDistrict city district geographicalArea location municipality object physicalEntity region site tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatArchaeologicalSitesInMorocco wikicatCitiesInMorocco wikicatMunicipalitiesOfMorocco wikicatPopulatedCoastalPlacesInMorocco wikicatPopulatedPlacesInEssaouiraProvince wikicatPopulatedPlacesInMarrakesh wikicatPortCitiesAndTownsOnTheMoroccanAtlanticCoast wikicatWorldHeritageSitesInMorocco
Where to buy some good wine in Essaouira?,FOD,FODBRE,where,wine,wine,vino,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location city administrativeDistrict city district geographicalArea location municipality object physicalEntity region site tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatArchaeologicalSitesInMorocco wikicatCitiesInMorocco wikicatMunicipalitiesOfMorocco wikicatPopulatedCoastalPlacesInMorocco wikicatPopulatedPlacesInEssaouiraProvince wikicatPopulatedPlacesInMarrakesh wikicatPortCitiesAndTownsOnTheMoroccanAtlanticCoast wikicatWorldHeritageSitesInMorocco
How to get to Asilah from Casablanca?,TRS,TRSROU,how,get,get,acquire,none,true,true,false,false,flase,1,1,0,0,0,0,0,0,0,0,0,0,   q populatedPlace settlement wgs place place location administrativeDistrict city district geographicalArea location municipality object physicalEntity region site tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCitiesInMorocco wikicatPopulatedPlacesInTangier wikicatPortCitiesAndTownsOnTheMoroccanAtlanticCoast wikicatRomanSitesInMorocco   q q city populatedPlace settlement wgs city place place location populatedPlace village location administrativeDistrict area city district geographicPoint geographicalArea location municipality object physicalEntity point port prefecture region site tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCitiesInMorocco wikicatMetropolitanAreasOfMorocco wikicatPopulatedCoastalPlacesInMorocco wikicatPopulatedPlacesInGrandCasablanca wikicatPortCities wikicatPortCitiesAndTownsOnTheMoroccanAtlanticCoast wikicatPortsAndHarbours wikicatPortsAndHarboursOfMorocco wikicatPrefecturesOfMorocco
From where can I find a good street map of Marrakech?,TGU,TGUATT,where,map,map,none,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,
Could you please advice some tour companies who might provide transport from and to our hotel or are we better off taking a taxi from airport?,TGU,TGUTOP,who,airport,airport,airdrome,aerodrome,false,true,false,false,flase,0,0,0,0,0,0,0,0,0,0,0,0,
What kind of places I can visit for bird watching near Marrakech?,TTD,TTDSIG,what,place,topographic_point,place,spot,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,
When does the fishing season begin in Bin El ouidane ?,TTD,TTDSPO,when,season,season,none,none,true,true,false,false,flase,0,2,0,0,0,0,0,0,0,0,0,0,
Do I need a converter or just a power adapter from the U.S. to use in Morocco?,TGU,TGUOTH,other,do,make,do,none,true,true,false,false,flase,2,0,0,0,0,0,0,0,0,0,0,0,   q q country populatedPlace wgs country place place location country populatedPlace location administrativeDistrict country district location object physicalEntity region yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatAfricanCountries wikicatArabic wikicatCountries wikicatCountriesInAfrica wikicatFrench wikicatMemberStatesOfLaFrancophonie wikicatMemberStatesOfTheArabLeague wikicatMemberStatesOfTheOrganisationOfIslamicCooperation wikicatMemberStatesOfTheUnionForTheMediterranean wikicatMemberStatesOfTheUnitedNations wikicatNorthAfricanCountries wikicatStatesAndTerritoriesEstablishedIn
From Where can I hire a local guide in Nairobi?,TGU,TGUTOP,where,guide,usher,guide,none,true,true,false,false,flase,1,0,0,0,0,0,0,0,0,0,0,0,   q q city populatedPlace settlement wgs city place place location populatedPlace village location administrativeDistrict area capital center city district geographicalArea location municipality object physicalEntity provincialCapital region seat site state tract urbanArea yagoGeoEntity yagoLegalActorGeo yagoPermanentlyLocatedEntity wikicatCapitalsInAfrica wikicatCountyCapitalsInKenya wikicatDistrictsOfKenya wikicatPopulatedPlacesEstablishedIn wikicatPopulatedPlacesInNairobiProvince wikicatProvincesOfKenya wikicatProvincialCapitalsInKenya
How can find good accommodation near Samburu National Reserve?,ACM,ACMOTH,how,accommodation,adjustment,accommodation,fitting,true,true,false,false,flase,0,0,3,0,0,0,0,0,0,0,0,0,
